"row_number","has_oats_cc","has_csil_cc"
104,TRUE,FALSE
107,TRUE,FALSE
114,FALSE,TRUE
115,TRUE,FALSE
116,TRUE,FALSE
117,TRUE,FALSE
118,TRUE,FALSE
123,TRUE,FALSE
125,TRUE,FALSE
126,TRUE,FALSE
127,TRUE,FALSE
128,TRUE,FALSE
129,TRUE,FALSE
130,TRUE,FALSE
131,TRUE,FALSE
132,TRUE,FALSE
135,TRUE,FALSE
138,TRUE,FALSE
147,TRUE,FALSE
157,FALSE,TRUE
159,TRUE,FALSE
160,TRUE,TRUE
161,FALSE,TRUE
171,TRUE,FALSE
173,TRUE,FALSE
174,TRUE,FALSE
180,TRUE,FALSE
186,TRUE,FALSE
187,TRUE,FALSE
188,TRUE,FALSE
189,TRUE,FALSE
190,TRUE,FALSE
191,TRUE,FALSE
192,TRUE,FALSE
193,TRUE,FALSE
194,TRUE,FALSE
195,TRUE,FALSE
196,TRUE,FALSE
197,TRUE,FALSE
198,TRUE,FALSE
199,TRUE,FALSE
200,TRUE,FALSE
201,TRUE,FALSE
202,TRUE,FALSE
203,TRUE,FALSE
204,TRUE,FALSE
209,TRUE,FALSE
210,TRUE,FALSE
211,TRUE,FALSE
212,TRUE,FALSE
213,TRUE,FALSE
214,TRUE,FALSE
215,TRUE,FALSE
216,TRUE,TRUE
217,TRUE,FALSE
218,TRUE,FALSE
219,TRUE,FALSE
223,TRUE,FALSE
224,TRUE,FALSE
225,FALSE,TRUE
226,FALSE,TRUE
227,TRUE,FALSE
231,TRUE,FALSE
235,TRUE,FALSE
248,TRUE,FALSE
249,TRUE,FALSE
303,TRUE,FALSE
